iter	Passed	Remaining
705	1423	592
706	1425	590
707	1426	588
708	1428	586
709	1430	584
710	1431	581
711	1433	579
712	1435	577
713	1436	575
714	1438	573
715	1439	571
716	1441	568
717	1443	566
718	1444	564
719	1446	562
720	1448	560
721	1449	558
722	1451	556
723	1453	553
724	1454	551
725	1456	549
726	1458	547
727	1459	545
728	1461	543
729	1462	541
730	1464	538
731	1466	536
732	1467	534
733	1469	532
734	1471	530
735	1472	528
736	1474	526
737	1476	524
738	1478	522
739	1480	520
740	1482	518
741	1483	515
742	1485	513
743	1486	511
744	1488	509
745	1490	507
746	1491	505
747	1493	503
748	1494	500
749	1496	498
750	1498	496
751	1499	494
752	1501	492
753	1503	490
754	1504	488
755	1506	486
756	1508	484
757	1509	482
758	1511	479
759	1513	478
760	1515	476
761	1517	473
762	1518	471
763	1520	469
764	1522	467
765	1523	465
766	1526	463
767	1527	461
768	1529	459
769	1530	457
770	1532	455
771	1534	453
772	1535	450
773	1537	448
774	1539	446
775	1540	444
776	1542	442
777	1543	440
778	1545	438
779	1547	436
780	1548	434
781	1550	432
782	1552	430
783	1553	428
784	1555	426
785	1557	424
786	1559	422
787	1561	420
788	1563	418
789	1565	416
790	1566	413
791	1569	412
792	1570	410
793	1572	407
794	1574	405
795	1577	404
796	1579	402
797	1581	400
798	1583	398
799	1584	396
800	1586	394
801	1587	392
802	1589	389
803	1591	387
804	1592	385
805	1594	383
806	1596	381
807	1598	379
808	1599	377
809	1601	375
810	1602	373
811	1604	371
812	1607	369
813	1608	367
814	1610	365
815	1611	363
816	1613	361
817	1615	359
818	1616	357
819	1618	355
820	1620	353
821	1621	351
822	1623	349
823	1625	347
824	1626	345
825	1628	343
826	1630	341
827	1631	339
828	1633	336
829	1635	334
830	1636	332
831	1638	330
832	1640	328
833	1641	326
834	1643	324
835	1645	322
836	1646	320
837	1648	318
838	1650	316
839	1651	314
840	1653	312
841	1654	310
842	1656	308
843	1658	306
844	1659	304
845	1661	302
846	1663	300
847	1664	298
848	1666	296
849	1668	294
850	1670	292
851	1672	290
852	1674	288
853	1675	286
854	1677	284
855	1679	282
856	1681	280
857	1682	278
858	1684	276
859	1685	274
860	1687	272
861	1689	270
862	1691	268
863	1692	266
864	1694	264
865	1696	262
866	1697	260
867	1699	258
868	1701	256
869	1702	254
870	1704	252
871	1705	250
872	1707	248
873	1708	246
874	1710	244
875	1712	242
876	1714	240
877	1715	238
878	1717	236
879	1719	234
880	1720	232
881	1722	230
882	1723	228
883	1725	226
884	1726	224
885	1728	222
886	1730	220
887	1731	218
888	1733	216
889	1734	214
890	1736	212
891	1738	210
892	1739	208
893	1741	206
894	1742	204
895	1744	202
896	1745	200
897	1747	198
898	1749	196
899	1750	194
900	1752	192
901	1753	190
902	1755	188
903	1757	186
904	1758	184
905	1760	182
906	1761	180
907	1763	178
908	1765	176
909	1766	174
910	1768	172
911	1770	170
912	1771	168
913	1773	166
914	1775	164
915	1777	162
916	1778	161
917	1780	159
918	1782	157
919	1783	155
920	1784	153
921	1786	151
922	1788	149
923	1789	147
924	1791	145
925	1793	143
926	1794	141
927	1796	139
928	1797	137
929	1799	135
930	1801	133
931	1803	131
932	1804	129
933	1806	127
934	1807	125
935	1809	123
936	1810	121
937	1812	119
938	1813	117
939	1815	115
940	1816	113
941	1818	111
942	1820	110
943	1821	108
944	1822	106
945	1824	104
946	1826	102
947	1827	100
948	1829	98
949	1831	96
950	1833	94
951	1834	92
952	1837	90
953	1838	88
954	1840	86
955	1842	84
956	1843	82
957	1845	80
958	1847	78
959	1849	77
960	1851	75
961	1852	73
962	1854	71
963	1856	69
964	1857	67
965	1859	65
966	1863	63
967	1864	61
968	1866	59
969	1867	57
970	1869	55
971	1871	53
972	1872	51
973	1875	50
974	1876	48
975	1878	46
976	1880	44
977	1881	42
978	1883	40
979	1885	38
980	1887	36
981	1889	34
982	1890	32
983	1892	30
984	1894	28
985	1895	26
986	1897	24
987	1899	23
988	1900	21
989	1902	19
990	1904	17
991	1906	15
992	1907	13
993	1909	11
994	1910	9
995	1912	7
996	1913	5
997	1915	3
998	1917	1
999	1919	0
